no,sentence,sentiment,source,location,Confidence,Positive Score,Negative Score,Reason / Notes,Aspect(s),Risk Type(s),Traveller Suitability,Hotel Improvement Insight
625,"1 Star. Stayed here and encountered multiple cockroaches in the room, including inside the kitchen cabinet area. I immediately informed the staff and even sent photos/videos as proof. Instead of offering a proper room change or immediate resolution, the response felt very scripted and defensive as if staff were trained to say “no” to every request for actual help. When I asked to switch rooms, they refused and only offered “touch-up cleaning,” pest spray, and roach bait the next day. That is not an acceptable solution. I even had to buy my own aerosol spray and move items around myself. Customer service lacked empathy and urgency. The issue was treated like a minor inconvenience instead of a hygiene and hospitality concern. Would not recommend unless msnagement/ staff genuinely assist guests instead of following rigid refusal policies.",negative,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,4.73,17.55,"Negative indicators: would not recommend, not recommend, roach; positive point(s): acceptable, recommend",Service,Cleanliness Risk; Service Risk,Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness; Improve front desk/staff service training"
626,"This has to be one of the most disgusting place I've seen. Mold in wall, pillows that smell horrendous, sink that's clogged. Truly unhabitable for any person western. Never again will I book this place.",negative,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",medium,0,4,Negative indicators: mold,Cleanliness,Cleanliness Risk,Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness"
627,Very bad services,negative,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,0,11.5,"Negative indicators: bad services, very bad, bad",General,No major risk detected,General traveller suitability,No major improvement issue detected
628,The towel smells bad The bed not clean and itchy The pillow cover not change The AC need service because not cold at all,negative,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",medium,3,12.5,"Negative indicators: not clean, not cold, bad; positive point(s): clean",Cleanliness; Service; Comfort/Noise,Cleanliness Risk; Facility/Maintenance Risk; Service Risk,Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness; Improve room facilities and maintenance; Improve front desk/staff service training"
629,Room is very small but its ok at this price,negative,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,medium,0.08,0.76,"Negative wording or complaint terms are stronger; main issue area(s): Location, Room Comfort, Value / Price.","Location, Room Comfort, Value / Price","Comfort Risk, Value / Pricing Risk",Less suitable for families or guests needing larger rooms.,"Priority: improve room comfort, noise control, and space expectations; review deposit, parking, and value transparency."
630,not a god hotel very bad room,negative,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",medium,0,7.5,"Negative indicators: very bad, bad",General,No major risk detected,General traveller suitability,No major improvement issue detected
631,"The bedsheets and pillow case was smelly. Was informed, room will not be cleaned daily. Only cleaned on checkout. The auto barrier was not working. Had to wait 8 minutes before the assistant cleared the system and the barrier worked. If the above was addressed, I am sure my stay will be better next time.",negative,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",medium,0,9.4,"Negative indicators: smelly, not working",Cleanliness; Comfort/Noise,Cleanliness Risk; Facility/Maintenance Risk,Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness; Improve room facilities and maintenance"
632,I want is Japanese style but given to me not as I dream,negative,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,0,4.05,Negative indicators: not as i dream,General,No major risk detected,General traveller suitability,No major improvement issue detected
633,"Title: Misleading Photos – Not Worth the Price Booked Swing & Pillows based on the nice photos on Agoda, but the reality was disappointing. The room was much smaller and not well-kept. The biggest letdown was the washroom—it wasn’t even tiled properly and felt unhygienic. Nothing matched the pictures. Felt completely misled and wouldn’t recommend this place.",negative,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.17,0.87,"Negative wording or complaint terms are stronger; main issue area(s): Cleanliness, Location, Room Comfort, Value / Price.","Cleanliness, Location, Room Comfort, Value / Price","Cleanliness Risk, Comfort Risk, Value / Pricing Risk",Less suitable for families or guests needing larger rooms.,"Priority: improve housekeeping and hygiene checks; improve room comfort, noise control, and space expectations; review deposit, parking, and value transparency."
634,The rooms were dirty and messy when we check in. We saw a lot of rubbish on the floor. And was waiting one hour to finally check in.,negative,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,0,4,Negative indicators: dirty,Cleanliness; Service,Cleanliness Risk; Service Risk,Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness; Improve front desk/staff service training"
635,Hotel is okay but fat lady stuff is very rude.,negative,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,medium,0.08,0.76,Negative wording or complaint terms are stronger; main issue area(s): Staff / Service.,Staff / Service,Service Risk,May suit budget travellers only if they can accept basic conditions.,Priority: improve front-desk response and service training.
636,"We order the non smooking room. Yes they gave us that room. But the the host doesn’t told us that the environment around the unit is smooking area. So the smoke of the cigarette entered the unit especially in the bathroom room, living room & main bedroom. I really concerned about this cause I traveled with infant. So i asked to move into another room but They only provide ozone machine installation options. And the room still smells of cigarettes. last, there’s a cockroach below the sink. So i request to give refund & go to find another apartment.",negative,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,0,6.75,Negative indicators: cockroach,Cleanliness,Cleanliness Risk,Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness"
637,"Horrible hotel, so deserted everything no good and is so old everything breaking down,TV not working, is not a shopping center but only a few provision shop. You cannot get what you want. Check in staff are rude. The whole place looks abandoned, haunted and don't feel safe. Highly not recommended.",negative,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",medium,7.4,25.85,"Negative indicators: not working, horrible, old; positive point(s): good, recommended",Service; Facilities,Facility/Maintenance Risk; Service Risk,General traveller suitability,Improve room facilities and maintenance; Improve front desk/staff service training
638,Water so small and the hotel is so dirty. Many cockroaches 🤮🤮,negative,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.08,0.98,"Negative wording or complaint terms are stronger; main issue area(s): Cleanliness, Location, Facilities, Room Comfort.","Cleanliness, Location, Facilities, Room Comfort","Cleanliness Risk, Facility Risk, Comfort Risk",Less suitable for families or guests needing larger rooms.,"Priority: improve housekeeping and hygiene checks; repair and inspect room facilities regularly; improve room comfort, noise control, and space expectations."
639,"The hotel is undergoing heavy renovation, impossible to be in hotel during renovation ie 9-6. The room and floor is dusty. The renovation has been ongoing for some time and looks like going to go on for a while more. No notification when we book. Saw two cockroach in the room. Blanket is super thin and didn’t felt clean.",negative,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",medium,3,8,"Negative indicators: cockroach, dusty; positive point(s): clean",Cleanliness,Cleanliness Risk,Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness"
640,We booked premium room expecting a tower view. But the room given to us was corner room with no view. Bathroom kits were given next days after we demanded. The room was not worth the money spent. Swimming pool also closed at that time as it was raining. We were totally disappointed with the stay,negative,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,0,22.28,"Negative indicators: not worth the money, disappointed, not worth",Facilities,Breakfast/Food Risk,General traveller suitability,"Improve breakfast menu, quality or service"
641,The hotel and room are terrible. Not worth for the money that u pay for it. Negative - 10 for the review...,negative,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.11,0.81,"Negative wording or complaint terms are stronger; main issue area(s): Room Comfort, Value / Price.","Room Comfort, Value / Price","Comfort Risk, Value / Pricing Risk",May suit budget travellers only if they can accept basic conditions.,"Priority: improve room comfort, noise control, and space expectations; review deposit, parking, and value transparency."
642,"We had booked for 5 nights but left after a terrible night in a tiny room that had no ventilation. We woke up to everything in the room ring incredibly moist. Even inside my wife’s purse felt wet. The water on the floor of the shower didn’t evaporate due to lack of ventilation. The cord on the kettle was too short to set the kettle on the floor or shelf so it couldn’t be used. I asked to get a chair or small stand for the kettle but no one came. Room 205 was a windowless, wet closet with no ventilation.. I have gotten no response to my questions nor any response about a refund. Superior queen is a joke.",negative,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.08,0.8,"Negative wording or complaint terms are stronger; main issue area(s): Staff / Service, Location, Facilities, Room Comfort, Value / Price.","Staff / Service, Location, Facilities, Room Comfort, Value / Price","Service Risk, Facility Risk, Comfort Risk, Value / Pricing Risk",Less suitable for families or guests needing larger rooms.,"Priority: repair and inspect room facilities regularly; improve front-desk response and service training; improve room comfort, noise control, and space expectations; review deposit, parking, and value transparency."
643,Room was not clean with hairs on bed and floor. Reception staff was not at the counter for me to check out early at 8am even though check out time has to be by 12 noon,negative,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,medium,0.11,0.77,"Negative wording or complaint terms are stronger; main issue area(s): Cleanliness, Staff / Service, Room Comfort.","Cleanliness, Staff / Service, Room Comfort","Cleanliness Risk, Service Risk, Comfort Risk",May suit budget travellers only if they can accept basic conditions.,"Priority: improve housekeeping and hygiene checks; improve front-desk response and service training; improve room comfort, noise control, and space expectations."
